sender,message
ohad, ?
ohad, <‎image omitted>
ohad, חחח פה אין לך את מי למרוח
ohad, אם אתה באזהרה הם קובעים לך את המערכת
ohad, מה נסגר עם הציון בליניארית?
ohad, איך המערכת שלך בינתיים?
ohad, למי נרשמת בקומבי?
ohad, אני גם רציתי את אותו אחד אבל אין מקום אליו
ohad, יש
ohad, לכץ הזה
ohad, תודה הצלת לי את המערכת
ohad, נאור אפשר את הגול שלך אני לא מבין איך מוצאים נגזרת nית
ohad, יש את הקקה עם טורי טיילור
ohad, יש גם שיטה עם זה
ohad, נו אתמול כתבו את זה בקבוצה בפייסבוק שאפשר למצוא עם זה
ohad, על איזה תרגיל
ohad, למה עוד משתמשים בטור טיילור ומקלורן!
ohad, ?
ohad, אני רציני
ohad, קורן מחר בתל אביב
ohad, הוא בבקום
ohad, עם ידידה
ohad, כן
ohad, אני מעדיף לצאת מוקדם 7-81
ohad, אבל בגלל הגיוס הזה אז נתעכב קצת
ohad, כן
ohad, <‎image omitted>
ohad, מה
ohad, נו אורגינל אחי זה הדבר הכי בסיסי אמרת שיש לך מאבא שלך
ohad, צלם לי
ohad, אין לאף אחד מהחברים שלך
ohad, בדוק קיבלו מהעבודה של ההוריים
ohad, תעדכן אותי
ohad, איזה תיק יש לך?
ohad, צלם נראה שהכל טוב
ohad, נכנס לך הכל?
ohad, תביא בשקית נדחוף באחד התיקים
ohad, נאור מה שמת אחי קורן עם 30 קילו
ohad, אנחנו צריכים לפזר את זה אין מקום אצלנו
ohad, הורדתי 5 ליטר מים
ohad, שמע אחי איזה כבד זה
ohad, סבבה
ohad, כן אני גם חשבתי
ohad, נגיע ישר לאבירים הזה ונישן שם
ohad, כן
ohad, לא יודע קמתי היום באחד יהיה לי קשה להירדם
ohad, אבל אני אקום באיזה 7
ohad, שהוא יוצא מהבקום כן
ohad, אהה כן אני אקום אל תדאג
ohad, שמע מנתניה להר מירון יש כל שעתיים אוטובוס
ohad, יש ב11 וחצי שאין מצב שנספיק
ohad, הר מירון
ohad, נהריה
ohad, כי נגיד אתה אוסף אותו ב9 יש לך את הקקה בהיכל נוקיה
ohad, ויש רכבת שנספיק ב9 ו20 שמגיעה ב11 ו20
ohad, כו
ohad, יש אופציה גם מנתניה
ohad, וחיםה
ohad, חיפה
ohad, אני בודק
ohad, יש קו ישיר למירון מתל אבביב
ohad, ב10 וחצי
ohad, מגיעים ברבע ל2
ohad, למושב מירון
ohad, זה באיזור אני חושב
ohad, יש מבני ברק באותה שעה מגיעים ברבע ל1
ohad, הבית ספר שדה זה במושב עצמו
ohad, נראה לי דרך בני ברק
ohad, 10 וחצי אוטובוס מגיעים ברבע ל1
ohad, כן מחזון איש
ohad, אוטובוס?
ohad, קו 240
ohad, 160 מעזריאלי
ohad, דרך בגין
ohad, כל 10 דקות
ohad, אפשר ב9
ohad, קו 980 לצפת
ohad, הוא עובר במירון
ohad, שעתיים נסיעה
ohad, 12 וחצי
ohad, אם ניקח מונית לבני ברק מהבית שלך
ohad, שלא נתברבר אם אוטובוסים
ohad, לא יודע כמה
ohad, הוא לא נותן ככה
ohad, זה רק שיש מבצעים
ohad, נזמין בגט טקסי יש את ה40 שקל קופון
ohad, אצלכם נראה לי
ohad, כמה עולה מתל אביב לבני ברק והסביבה
ohad, ?
ohad, אתה תל אביבי
ohad, נאור תוריד את הget taxi ותפעיל את הקופון
ohad, מהappstore ואז מהאייסטדונט
ohad, יש לך כסף בקופונים?
ohad, כאילו יש לך שם כמה כסף?
ohad, יש לי 7.5 בטח לקורן יש יותר
ohad," מונית לבני ברק חזון אי""ש"
ohad, משם קו 980 של נתיב אקספרס
ohad, לכיוון צפת
ohad, יורדים במירון
ohad, אחלה
ohad, כוסאמק נתקעתי עם הרכבת הזאת
ohad, שמעו אם תבואו לשלום נייקח משם רכבת?
ohad, מונית
ohad, בעלייה מהרכבת
ohad, ברגיל איפה שמטפסים
ohad, כן
ohad, בgettaxi או שנתפוס כל מונית שמגיע?
ohad, כן
ohad, טוב סע לנוקיה
ohad, צא עכשיו עם האופנוע תקנה
ohad, ובדרך חזור תסע לבקום
ohad, אבל לפחות תהיה בחוץ
ohad, תקנה עכשיו תחסוך את הזמן
ohad, אין לי כוח עכשיו אני אלך מחר לתרגול בערב
ohad, סבבה
ohad, איך אני חולה על מסיבות צהריים
ohad, <‎image omitted>
ohad, <‎image omitted>
ohad, <‎image omitted>
ohad, <‎image omitted>
ohad, <‎image omitted>
ohad, <‎image omitted>
ohad, מתי יוצאים
ohad, ?
ohad, יוצאים 10 וחצי
ohad, אתה שותה או לא יגיילורד?
ohad, מה 700 לבד נתפרק קצת ?
ohad, <‎audio omitted>
ohad, בטבע
ohad, קיצור אני בהאוס
ohad, צד שני
ohad, אני לא יכול פה
ohad, איפה אתם?
ohad, נאור שמעת על המוגו?
ohad, מקום באסה?
ohad, ?
ohad, גם בתוך מקלט!
ohad, ועכשיו גם יש ערסים בתקופה הזאת!
ohad, ?
ohad, יעני הם חזרו לצאת למקום או שהם התפזרו במועדונים אחר
ohad, סבבה
ohad, אתה במעונות?
ohad, נאור בוא תביא לי גליל אני עם כאבי בטן אחושרמוטה
ohad, אני בשירותים שוב אני לא יכול אחי לא יודע מה אכלתי אתמול
ohad, חשבתי שסיימתי להיום
ohad, אמרתי אני אקנה בדרך חזור מהאוניברסיטה
ohad, מאיפה אני יודע
ohad, אתה פה?
ohad, איפה אתה?
ohad, אל תשמרו לי אני מגיע ב12
ohad, או 11
ohad, אני עכשיו בתא
ohad, איפה אתה?
ohad, נאור מחפשים שותף למבנה בקבוצה של עתודה
ohad, 😘
ohad, <‎image omitted>
ohad, נאור
ohad, מה עושים עם העבודה המחורבנת הזאת?
ohad, <‎image omitted>
ohad, מה יש לך נאור תראה איך אתה נראה
ohad, סתם ❤
ohad, תמיר שפראו
ohad, <‎image omitted>
ohad, אתם באים?
ohad, בואו
ohad, לא אני סתם אומר לכם לבוא
ohad, נאור קח את העכבר שלי אליך
ohad, אני אבוא לאסוף אותו שאני אחזור
ohad, לשמור אצל כץ?
ohad, לשמור אצל שכטר?
ohad, טוב טוב מה את מתרגש
ohad, לא
ohad, נאור איפה המילונית שלך
ohad, שאל את קורן איפה המילונית שלו?
ohad, כוסאמק איזה זין עם הבוחן הזב
ohad, מה יש לך יזין
ohad, ואם אני אקפוץ עכשיו אליו יהיה שם מישהו
ohad, איזה גנוב
ohad, איך אפשר לישון 30 שעות
ohad, מה מיילסטון 1? עכשיו?
ohad, מה עם הזין של 1 אבל?
ohad, איזה כמה דקות אנחנו לא יודעים בכלל מה לא טוב
ohad, איזה איכות אני רואה מפה את השיערות בנחיר
ohad, 316452929
ohad, <‎audio omitted>
ohad, יש רק ל2007
ohad, עשר דקות אני מגיע למעונות
ohad, אני אעשה חיפוש
ohad, <‎video omitted>
ohad, יש לי קל גרון
ohad, סבבה
ohad, אהה אני הולך באחד וחצי
ohad, אני כבר אשאיר לך את זה איפהשו
ohad, פנק אותי
ohad, יהומואים בואו לפלאפל מלכה
ohad, אני בא אליך
ohad, ומזמינים
ohad, מטורטיקני
ohad, <‎audio omitted>
ohad, <‎video omitted>
ohad, זכית
ohad, חכה מחר
ohad, תוריד אבל תראה
ohad, יעני שתראה רק מה הולך בתמונה
ohad, איזה טינוף
ohad, בטעות הורדתי לטלפון שוב
ohad, וראיתי את התמונה
ohad, שלח לשירה
ohad, אחי מחר רואים את זה
ohad, חייב
ohad, מ11
ohad, אני משלשל מאז שקמתי
ohad, נראה לי כבר בבית
ohad, לא יודע מה קרה לי
ohad, פעם שלישית אני מתרוקן כבר
ohad, אם אני לא שורד את הנגלה הבאה
ohad, תקרין בהלוויה את הסרטון המטונף
ohad, זה הבקשה האחרונה שלי
ohad, ראיתי את הסרטון
ohad, לא כזה גרוע כמו שחשבתי
ohad, לא גרוע כמו לפוצץ לעצמך את הזין
ohad, לא מסריח מטונף
ohad, בסדר אחי סתם התמונה מבהילה בהתחלה
ohad, יאללה שיביא את המבחן בא לי לסיים כבר
ohad, <‎audio omitted>
ohad, סתם אחי אנשים כמו בהמות על הבר
ohad, וגם היו מלא ערסים אז
ohad, יוני נסע לשם חחי
ohad, תספר חוויות
ohad, נאור באלוהים בדקתי עכשיו
ohad, מבני חוסם.. תהיה מוכן
ohad, 3 קורסים מתוך 5
ohad, לפי הדף שלהם
ohad, אבל לא בטוח שילמדו אותו בסמסטר ג
ohad, זה אני בטוח
ohad, אני איתך באש ובמים
ohad, נאור אתה זוכר את הקטע עם הג'אווה
ohad, שהסברת לי
ohad, יעני איך הגאווה מחפש פעולה
ohad, שוב מה אמרת על c++
ohad, איך הוא מחפש
ohad, ובזמן ריצה הוא מחפש רגיל?
ohad, רגע ונגיד יש קריאה לפעולה בתוך הפונקציה כמו שהיה במבחן
ohad, אז אני חוזר לבדוק מהטיפוס דינמי הראשון?
ohad, יעני כמו בהתחלה
ohad, בטרמפ
ohad, שנייה
ohad, שנייה עד שישלח לי את התרגיל אני אנסה להסביר
ohad, אני קורא לפעולה מאיזה מיין או משהו נגיד b.foo
ohad, עכשיו בb אין לי את foo אז אני הולך לאבא וב foo שלו יש קריאה לפעולה goo אז אני מתחיל לחפש את הפעולה הזאת מb
ohad, ?
ohad, סבבה
ohad, אהה סבבה
ohad, וואלה תודה אחי
ohad, נאור שלחתי לך במייל את המבחן שלי
ohad, אני לא בבית ואני לא יכול לשלוח מהטלפון בפייסבוק
ohad, אתה יכול לשלוח לאורי ודביר שיסתכלו
ohad, וגם אתה
ohad, ושינסו להוציא כמה שיותר נקודות
ohad, זה יהיה קשה להוציא 20 נקודות אבל לפחות לנסות
ohad, ויוני יוסיף את הצד המלקק
ohad, ויהיה טוב
ohad, אוני
ohad, באחרון
ohad, זה ענה על חלק מהזמני ריצה
ohad, כוסאמא של הסיכום הארוך
ohad, זה הבאסה מללמוד מסיכומים ישנים
ohad, איזה זין
ohad, שלח לאויר
ohad, רי
ohad, ודביר
ohad, בפייסבוק
ohad, תודה אחי
ohad, אוהב אותך
ohad, איך קוראים לסדרה שאתה רואה?
ohad, על הכדורגל
ohad, לא סיימת עם הזונות והסמים?
ohad, חחחחחחח
ohad, לממן את המקסיקני שנה הבאה
ohad, חחחחחחחחחחח
ohad, לא נראה לי יהיה מקום
ohad, קורן יתפוס את כל המקפיא
ohad, חחחחחחחחחח
ohad, נשאיר אותה בחוץ
ohad, יאללה ב3.9 התשובות לחרא הזה
ohad, חייב
ohad, שלא יגידו לך להתגלח לא תרצה להוציא את הראש מהאוהל
ohad, אבא שלי מנסה להזרים אותי
ohad, חושב שזה הצבא שהוא היה
ohad, הוא לא מבין שזה צבא של שוקולד
ohad, ראית את המכות שהחייל הזה קיבל כי ניסה לעצור איזה ילד שזרק עליו אבנים
ohad, אני לא מבין איך הוא לבד
ohad, חברים שלי היו המומים
ohad, כן
ohad, חחחח ליטף אותם
ohad, שמע היו עליו 7 נשים
ohad, ועוד הילד הזה בין הרגליים
ohad, זה סיטואציה מפחידה
ohad, זה גם היה מצולם
ohad, אם הוא היה יורה לא היה להם אכפת
ohad, אם זה לא היה מצולם
ohad, חחחחח מה קרה לא נסעת עם אלירן?
ohad, לא נתנו לו לצאת מהארץ
ohad, חחחח ברוך ה' השתחרר בית סוהר
ohad, שיעלה על איזה בניין שישחק אותה שהוא רוצה לקפוץ
ohad, יקבל מה שהוא רוצה
ohad, מילה
ohad, קיצור עזוב אותך קזינו אני שולח לך את עבודה 2 במבני תקתק לי את שאלה 5
ohad, חחחחחחחחחחחחחחחחח
ohad, תהנה ימוצץ 😘😘😘
ohad, ניפגש בתל השומר
ohad, כבר נהיה בבית השני
ohad, כל הפעמים שאנחנו שם
ohad, איזה נרקוט
ohad, שבוע אתה באמסטרדם ואפילו לא שאכטה?
ohad, אפילו לא איזה פטריה
ohad, טיפה
ohad, בול
ohad, הלפני אחרונה לאינסטגרם בדוק
ohad, בבית
ohad, מוכן מתמיד
ohad, תביא עוגה בשבוע יומלדת
ohad, אני אביא אבנים יעבור יותר חלק מהעוגה של אמא שלי
ohad, <‎image omitted>
ohad, זה התוצר הסופי
ohad, הסעות ממודיעין לפורום
ohad, חחחח כמו עד העצם
ohad, פתחו סניף של טייקאווי
ohad, מה איפה אתה גנוב
ohad, אהה
ohad, קיצור מתי אתה חוזר בגלל
ohad, בכלל
ohad, בואנה שבועיים אתה שם
ohad, לא מיצית
ohad, אהה נכון טסת אחרי הצבע
ohad, מה עשיתם כל השבוע?
ohad, חחחחח אנה פרנק
ohad, ואתם ישנים באיזור של הזונות?
ohad, חזק
ohad, אבל יעני בחור תחת או קרוב להכל?
ohad, לכו תראו משחק שלי אייאקס
ohad, כן זאת העונה של הולנד ואמסטרדם
ohad, עוד חודש כבר נהיה חורף
ohad, אני אומר לך לפני 3 שנים היינו בלונה פארק ענק של הולנד ירד עלינו מבול הסתובבנו עם השקיות זבל הכחולות האלה עלינו
ohad, חחחח למה רדף?
ohad, אירי
ohad, מאירלנד
ohad, חחחח איזה גנוב
ohad, החזרתם את הטיול בסוף?
ohad, בקטנה
ohad, העיקר לא נפלת בפלופ
ohad, היית מפסיד קוף
ohad, חחח בטח דפקת על השולחן בעצבים
ohad, חחחחח נהיית המום
ohad, בואנה מתי אתם קמים?
ohad, הכל לא נסגר באיזה 5-6?
ohad, רק מקדונלדס יעני
ohad, דוד שלי הגנוב הזה אכל שם שתי לאפות  ו2 קפה עקצו אותו לפני שבועיים איזה 25-30 יורו
ohad, עם איזה סיגר בצד ב
ohad, ?
ohad, שיער בטוח
ohad, זקן אם אומרים לך משהו
ohad, תחרבן עליהם
ohad, שיער בטוח פטור
ohad, אחי אנשים באים עם רסטות
ohad, שמע אתה יודע מה אני חושב שנהיה גם עם לא עתודאים
ohad, באותו יום גם מתגייסים לטכני של חיל האוויר
ohad, יעני נהיה עם מפגרים לפנים
ohad, אתה רק תגיד להם שחתמת ל10 שנים לפני שבכלל הגעת הם יהיו המומים
ohad, למה עשית את זה
ohad, אני רק רוצה לברוח
ohad, כן כוסאמק
ohad, כולם ישר שואלים אהה יג יד
ohad, אבא שלך יג יד
ohad, חחחחחחחחח
ohad, וואלה מעתיק איזה שאלה וסיימתי את עבודה 2
ohad, השבוע הייתי בכל ההרצאות והתרגולים כמו ילד טוב
ohad, לא בבית האורגינלי
ohad, שמע אתמול ישנתי שוב אצל בן דוד של סבתא שלי
ohad, אז הבן שלו הגיע עם חברה שלו
ohad, באר שבע
ohad, קיצור
ohad, נכנס לחדר שישנתי בו לקחת את השלט למזגן
ohad, ואז הכרנו וזה הכיר לי את חברה שלו
ohad, פצצה אחי
ohad, דוגמנית של קסטרו
ohad, אמא שלה מנכלית שלישית של כיל
ohad, יושבת על מיליונים
ohad, מה אכפת לך ימוצץ חסומה באינסטגרם
ohad, לא נעים לי לדפוק לה פולאו
ohad, קיצור חכה יגנוב
ohad, שנה מתחתינו
ohad, קיצור היא אמורה להתגייס לטכמי
ohad, לטכני
ohad, שאלתי בואנה איך את ככה וזה בחורה חכמה עם ראש
ohad, דופקת לי יש לי 72 או 64
ohad, בגלל עקמת
ohad, ירד לי כל הזקפה
ohad, הייתי המום
ohad, לא גיבנת
ohad, גיבנת זה מטונף
ohad, דנה נחשון
ohad, אם היא מאשרת שלח תמונות להתרשם
ohad, כן
ohad, יהומו
ohad, גם יזין יש לנו תמונות ביחד
ohad, קיצור שיזדיין חבר שלה
ohad, למרות שהתחתונים שלו בארון שחי
ohad, לי
ohad, איזה אחי ישבנו בול חצי שעה
ohad, ואז הם חתכו לישון
ohad, וואלה אפשר
ohad, 3.9
ohad, נאור אתה מסטול אחי
ohad, 10000 הודעות בדקה
ohad, אני לא עומד בקצב
ohad, חחחח מרחף
ohad, עד שתעדכן את ios 10 לא יזטז לך
ohad, איזה מזל
ohad, חבר שלי הביא מארהב
ohad, והיה לו אייפון דבר ראשון הסים לא מתאים
ohad, דבר שני עד שהוא הביא סים מתאים הטלפון חסום לסים של הארץ
ohad, איך הוא התבאס
ohad, אבל הוא דיבר עם דוד שלו שילך לחברה שיפתחו לו את זה
ohad, לtmobile הזה
ohad, באמא שלי בחופש הזה לא עשיתי כלום
ohad, רק רבצתי כמו כלב
ohad, הייתי מת לעבוד
ohad, סבבה לא היה איזה משהו מרגש
ohad, חוץ מהגשר
ohad, שום דבר מלהיב
ohad, לילה טוב
ohad, נו אישרה אותך
ohad, שלח משהו
ohad, וואו
ohad, עשיתי לה גם
ohad, עלק עקמת
ohad, למד איתה בטח
ohad, חחחח אהה בדקת גם אותו
ohad, דומה לך
ohad, נראה סבבה עכשיו הוא בלי שיער
ohad, יש לה חברו
ohad, ת?
ohad, לא אישרה עדיין
ohad, תעשה מחקר
ohad, בכית?
ohad, קטלני חח
ohad, הייתם במוזיאון סקס?
ohad, למה?
ohad, חח מה
ohad, יעני מזיינים על הבמה?
ohad, בסוף הוא משפריץ על הקהל?
ohad, בדוק ישבתם שורה ראשונה יעני
ohad, מטר מהכיס
ohad, מהכוס
ohad, פששש
ohad, וואו מופע ארוך אז
ohad, חחחח לא הספיק לך 1
ohad, כלול במחיר?
ohad, כלול
ohad, שמע יש לי סרטון מתאים לאמסטרדם אחי
ohad, אחי זה פאקינג גבר מזיין תרנגולת
ohad, שלחו לי
ohad, הוריד לבד על הוואיפיי
ohad, לא נראה?
ohad, אני אראה לך בטירונות
ohad, שמע אחי איזה חולה נפש באלוהים
ohad, וואלה אישרה
ohad, בת זונה שתחזיר לפחות
ohad, אוהב אותך אח יקר מכל
ohad, אבל לא לעניין
ohad, אני כותב לך ברכה של 4 שורות
ohad, אתה מפציץ לי פה
ohad, אתה מוציא אותי רע בכל הסיפור הזה
ohad, קשה לי להביע את עצמי בכתב
ohad, בקבוצה
ohad, מזל טוב ועל זיונים
ohad, או משהו כזה
ohad, חחחחח כן
ohad, קיצור מחר אני בא לגפן
ohad, אני מביא נרות
ohad, נדליק עם איזה לחם עם ריבה
ohad, חג שמח מלך
ohad, איך הממוצע שלך השנה?
ohad, יעני תקין לעתודה?
ohad, ומתי אתה נפגש איתם
ohad, מתי אתה בא?
ohad, יפה
ohad, גם אני
ohad, בדרך
ohad, בוא לדייט באגאדיר
ohad, חחחח אהה מאוחר כזה
ohad, לא יודע אני רעב עכשיו
ohad, חחחחח
ohad, שמעתי קורן תפוס
ohad, פגשתי אותה בפורום
ohad, הייתי שיכור בשביל לראות אתה ישר
ohad, דבר איתי שאתה מגיע
ohad, אם לא אירדם
ohad, קר בחוץ
ohad, ?
ohad, לקחתי כבל קצר מאיציק
ohad, בוא קח
ohad, כן
ohad, לא
ohad, איפה אתם?
ohad, סבבה
ohad, בדרך
ohad, חכו שם
ohad, שמעו בפנים ריק אחושרמוטה
ohad, ויש מוזיקה סבבנ
ohad, לא
ohad, זוכר בפורים
ohad, היו 3 רחבוץ
ohad, ת
ohad, אז איפה שהיה הטבע
ohad, איפה תם
ohad, אתם
ohad, למעלה איפה
ohad, סבבה
ohad, חכו ש8
ohad, ם
ohad, איפה שהיינו בהתחלהה
ohad, במעבר
ohad, חכה אני נן
ohad, נח
ohad, עוד מעט
ohad, ניפגש מחר בהסתברות
ohad, למה ככה
ohad, לבוא החוצה?
ohad, יש לך דיסקאונקי
ohad, ?
ohad, דבר אליי
ohad, שמעתי
ohad, בול בspl ימזדיין
ohad, כוסאמא שלך
ohad, תמיר שמשילוביץ גבר אבל
ohad, סגור ימוצץ
ohad, אבל אתה בן זונה
ohad, אתה לא יודע לעבוד ביחד
ohad, אתה רוצה או לא?
ohad, ביחד או לא?
ohad, שבת שלום
ohad, <‎image omitted>
ohad, מה אתה מזיייןןןןן
ohad, איזה גבר
ohad, איזה קלאס ליסוע ככה לאיל
ohad, ת
ohad, ואוווווו
ohad, וואווווו
ohad, עכשיו אני הולך לתרגול spl
ohad, נרדמתי אחושרמוטה
ohad, אז אנחנו הפוכים
ohad, מה הוא עושה בתרגול?
ohad, איזה כיתה אתה?
ohad, אהה חשבתי שאני נכנס לתרגול בכיתה שהיית
ohad, יצאה עבודה באוטומטים
ohad, לא
ohad, זוגות
ohad, היית בשיעור?
ohad, סבבה
ohad, אני הולך ב4
ohad, לברנד הזה
ohad, ימזדיין עד לפה שומעים שהתחלת עוד פרק
ohad, כלום סיימתי ללמוד להיום
ohad, על השיעור הראשון של בסיסי
ohad, אוטומטים עשיתי קצת בעבודה
ohad, ואת המוקס ודימוקס
ohad, וסידרתי את החדר חחח
ohad, גם היום אתה ישן ב4?
ohad, מה אתה מזיין את המוח רק התחיל הפרק
ohad, איפה אתה
ohad, יאללה בוא
ohad, ו
ohad, מעליך
ohad, עכשיו קמת?
ohad, <‎image omitted>
ohad, שומר לכם מקום בתור
ohad, כוסראבק
ohad, אתם באים?
ohad, סבבה
ohad, 116
ohad, בסיסי נתונים עבודות תיאורטיות
ohad, תהיה אולי אחת תכנותית
ohad, ושעבודה 1 תצא עוד השבוע
ohad, כן
ohad, תראה את המצגת במודל
ohad, דברים כללים בsql
ohad, נכון לא הלכת היום ללמוד
ohad, שניכם
ohad, דבר איתי יעני
ohad, עכשיו נכנסתי לאוניברסיטה
ohad, הולך לאוטומטים
ohad, כמה אילוצים עשיתם בכל טבלה?
ohad, כאילו גם notnull זה אילוץ?
ohad, ?????
ohad, Varchar(50)?
ohad, איך אתה עושה אילוץ כזה
ohad, שאורך משתנה שווה 10
ohad, נגיד
ohad, לא אבל num.length
ohad, או מה
ohad, סבבה
ohad, <‎image omitted>
ohad, תעלה לי נייר טואלט
ohad, אין זמן לכלום
ohad, מה עושים
ohad, <‎image omitted>
ohad, בפרח
ohad, מבטיח ילד גבר
ohad, עכשיו משחקים באקסבוקס
ohad, מעליך
ohad, התחיל?
ohad, כן
ohad, איפה המחשב?
ohad, סבבה
ohad, <‎image omitted>
ohad, <‎image omitted>
ohad, לימודי הכוס
ohad, בואנה ווינדוס 10 חזק
ohad, 22
ohad, שבוע הבא יום ראשון
ohad, צריך לעבוד השבוע
ohad, שלח לי את הטסטינג לmultiwaymux וmultiwaydemux
ohad, לשימוש עצמי ואז אני מוחק
ohad, רק לראות שזה עובד
ohad, שמרו מקום
ohad, בוקר טוב
ohad, דביר אומר שהפלט עושים בבוסט
ohad, שהוא קורא מהבוסט אז הוא שולח פלט
ohad, יש קהל?
ohad, כמה הפסדתם
ohad, אללהצ
ohad, קיללת את השופט?
ohad, מעליך
ohad, לא ידעתי איך להמשיך יבן זונה
ohad, איפה אני דוחף את הפלטים המזדיינים האלה
ohad, אבל התקדמתי אחלה במממ
ohad, אתה על הזין שלי
ohad, תגיד מה זה אומר שהLsb הוא 0
ohad, ??????
ohad, מה
ohad, <‎image omitted>
ohad, מה זה אומר בפועל ישרמיט
ohad, Set value
ohad, אני משתמש בכל הביטים?
ohad, או שאני משאיר אחד
ohad, כי לא הייתי באמצע של הממ
ohad, ולא ידעתי מה לעשות
ohad, וזה בול 4 דקות
ohad, הפלטים
ohad, כוסאמק איזה שותף חרא השאיר פיתות בחוץ
ohad, עכשיו ניגבתי חומוס עם עובש
ohad, אבל תהיה אחרי מקלחת כבד
ohad, דלאל
ohad, כוסאמא של הalu
ohad, השורה השנייה של הטבלת אמת לא עובת
ohad, תגיד שכתוב 1 בטבלה הכוונה ל1111
ohad, או ל0001
ohad, סראבק
ohad, ככה וככה הוא מחזיר לי 0
ohad, שלח לי את התמונה של שחק
ohad, ר
ohad, עשיתי כמו שהיא עשתה בתרגול וזה לא עובד עכשיו
ohad, אהה וגם הadder עושה לי בעיות
ohad, הוא אהבל אהה
ohad, לא רואים כלום בחרא הזה
ohad, איפה זה נגמר ואיפה זה מתחיל
ohad, ונגמר
ohad, שמע בadder
ohad, אם אני מחבר 1111 ו1111 מה אני מקבל 0000 וc=1 נכון?
ohad, איך טיפלת בזה
ohad, חכה הוא שולח סרטון
ohad, <‎video omitted>
ohad, מה זא
ohad, לא בשום מקום אין דבר כזה
ohad, אני אנסה לכתוב ידני
ohad, גם אותו דבר
ohad, מתי אתה בא?
ohad, מה עם spl
ohad, טוב תגיע נפתור את זה
ohad, על איזה סיבה
ohad, הייתה בעיה במחשבים במעבדות אתמול אז אמרו שכל מי שיבקש הארכה יקבל
ohad, אני מנסח
ohad, <‎image omitted>
ohad, תגיד איך ממשת את הadde
ohad, ?
ohad, Adder
ohad, של הn היטים
ohad, ביטים
ohad, יעני מערך של f.a ?
ohad, אז לילה אחד תישן בחוץ
ohad, לא קרה כלום
ohad, תעלה
ohad, אני אצל גורן
ohad, הישרדות או מה
ohad, בכדורעף
ohad, למה?
ohad, 11
ohad, לא יש לי אוטומטה ב12
ohad, תרגול
ohad, אחיך צריך לדעת לפתור את עבודה 2
ohad, אהה קיצור הצלחתי לתקן אחת מתוך 3 הדליפות
ohad, Delete worm
ohad, איפשהו בrun
ohad, אבל תחשוב שלכל אחד מהדוגמאות שהם הביאו יש דליפות אחרות
ohad, נגיד בדוגמה הראשונה שהרצנו
ohad, יש 860 בייט
ohad, ויש 3 מקומות של דליפה
ohad, בדוגמה של ה50 יום יש שני מקומות עם 310 בייט
ohad, ניסיתי לדחוף ב1000 מקומות
ohad, או שזה מזיין את התכנית או שזה לא עושה כלום
ohad, נראה בערב נראה את הדליפה ונשאל את אורי
ohad, כן
ohad, גורן לא קם?
ohad, איזה גנוב
ohad, נקעתי את הבוהן באלוהים
ohad, שיחקנו תופסת והיא נתקעה לי בחול ונפלתי על הרגל
ohad, ותסדר גם לי את הדטה בייס
ohad, אתה כבר שם מנייק
ohad, אני מתקלח
