sender,message
koren, כל פעם אני צריך לקלוט פעמיים
koren, אם לא הוא עושה לי שגיאה
koren, הוא לא בודק לי איזה if מסויים
koren, לא יודע
koren, לא
koren, בעיה של האקליפס
koren, הדפוק הסה
koren, הזה
koren, תיקנת את הבעיות?
koren, אני רוצה יעני
koren, שאם אני מכניס לתוכנה בתור פולינום
koren, שהנגזרת תחזיר לי אפס
koren, זהו
koren, שמע אני נרדם כבר תשלח לי אחרי שאתה מסיים את כל הקבצים חזרה ואני אכין את הuml ואשלח
koren, עוד לא
koren, חמש דקות
koren, נדפיס ונלך
koren, יאלה
koren, בןא לחדר מחשבים
koren, איפה אתה
koren, אני מחוץ למעונות שקר
koren, חזרתי רגע
koren, איפה אתה
koren, סבבה
koren, איפה אתה
koren, שורה ראשונה או שאני נפרד ממך
koren, <‎video omitted>
koren, חחחח זה קל אחי
koren, סתם עבודה בעניים
koren, שינוי צבעים
koren, פקודה
koren, אתה מבין מזה השחקן הכי טוב בעוולם
koren, ראית במחצית הראשונה איך הוא דילג עליה ברחבה
koren, עליהם
koren, רונאלדו סוקרר נקודה
koren, הוא סוקרר מטורף
koren, אבל זה התפקיד שלו
koren, ביום שישי בערב אצלי בדיר
koren, ה
koren, 😁
koren, בוא אלי בשלוש ננסה קצת מבני נותנין
koren, נתונים
koren, ❤️❤️
koren, 👆
koren, אני בנמל עם המשפחה אם אתה רותה לבוא
koren, <‎image omitted>
koren, <‎image omitted>
koren, יאלה בוא
koren, יאלה
koren, איפנ
koren, בוא לדי גיי
koren, אנחנט יושבים פה בחול
koren, בוא מאחורי הדיי גיי
koren, צד שני יאהבל
koren, מולך
koren, סתכל על השופט
koren," חשבתי אתה לבד ,רציתי שתבוא איתנו למסעדה וזה"
koren, <‎audio omitted>
koren, איפה אתה אחי ?
koren, אנחנו בטמפל תגיע! שלא תפספס
koren, תארגן
koren, חבר
koren, ובואו
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, בוא תגיד שלום
koren, נוווו
koren, מעפוו בוא
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎image omitted>
koren, מחר הולכים לסרט תבוא!
koren, בשני
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, אתה משועמם
koren, שמע אחי
koren, איזה יפה היא
koren, אתה לא מבין כמה
koren, רצח
koren, בובה
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, חחחחחחחחחחחח
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, אני אתה נועה וליאן
koren, לא יודע משהו ב12 לא זוכר את השם
koren, מה נראלך זה פה
koren, דאבל דייט?
koren, הולכים לסרט ואתה מתחיח איתה חחחח
koren, תביא חבר
koren, אן באלך
koren, אם
koren, יותר מסבבה
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, בית הפנקיק הרצליה?
koren, יאלוש
koren, זזנוש לשם?
koren, באלי זזנוש
koren, אז שקא
koren, שקט
koren, איזה דברזה אה
koren, מה אומר ניב
koren, בובה
koren, כן רצח אבל כבר אמרתי לך למה
koren, <‎audio omitted>
koren, היום אני נפגש עם הבודק
koren, נאור כפרה עליך תנסה לרשום אותי לקורס קיץ בקומביייי באתר
koren, נראלי פספסתי
koren, korenlev
koren, אתה בא לכדורגל?
koren, <‎image omitted>
koren, עילאי
koren, הבודק
koren, העתודאי
koren, שהיה איתנו היום
koren, נאור
koren, תשאל את אלמוג איפה הקניות שלי
koren, תודה אח
koren, <‎image omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, מתי לבוא
koren, טוב
koren, תקשר אלי
koren, או משו
koren, אני מנמנם
koren, כן
koren, רבע שעה למטה
koren, סבבה
koren, אבל קונדום
koren, חובה
koren, יופי
koren, מה
koren, מה אתה מבלבל
koren, איף
koren, טוב בוא עשר למטה היי
koren, מעכשיו עשר
koren, ביי
koren, קקי
koren, ב11
koren, מצטער
koren, לא
koren, חמש
koren, בא
koren, בצל גדול
koren, וטורטיותתתת
koren, נכין אורז
koren, או םתיתים בסדר
koren, רק תביא בצל בצל הכי חשוב
koren, כן בוא הברררר
koren, <‎audio omitted>
koren, חחחחחחחח מבטיח!
koren, <‎image omitted>
koren, סו בתמונה של הווטסאפ
koren, זאת היא
koren, רק שפה היא לא משו
koren, מה עתודאית
koren, לא
koren, חחחחח
koren, מה סה לא הבנתי
koren, הא אוקייי
koren, איך הולך חדוא
koren, יאלה תתקופ
koren, תחרוד
koren, תוציא מאנ
koren, <‎audio omitted>
koren, אה
koren, לאהכל כך טוב
koren, חזר הביתה
koren, ומחר שוב בדיקות
koren, תודה אחחח
koren, מאמי מה נסגר
koren, בא?
koren, אז בוא אתה
koren, טוב יאח לילה טוב אחי!! דבר איתי
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, איך הרוקו
koren, 80 שקח כניסה באלוהים
koren, יזיןןןן מהה אתה מסתלבט עליי
koren, אני חושב ש צוחקים עליי
koren, כן באלוהים
koren, אני בהלם
koren, ירדתי לשירותים
koren, <‎image omitted>
koren, היינו שם.. 80 שקל וליין צרפתים
koren, באלוהים יש פה למעלה איזה פריק עם חצי קרחת חצי תלתלים ושתי בלונדיוניות כוסיות איתו
koren, בהלם אני חושב שעובדים עלינו
koren, זוועות
koren, דקה
koren, <‎image omitted>
koren, גם אני לא
koren, 50 וכוס וודקה
koren, מזה הזין הזה חחחחח
koren, נשבע כאילו בת מצווה של אחותי
koren, עכשיו בגן יבנה
koren, אבל מחר ב12 אני משחק כדורגל בחולון
koren, רציתי שתבוא
koren, אהההאוף
koren, סבבה
koren, ריך היה
koren, נדבר על זה שתיזור
koren, באלך פורום מחר? אמחנו הולכים
koren, אההה הבנתי
koren," אחשליייי היקר שיהיה לך חג שמח, שנה טובה ומתוקה, מלאת בריאות, אושר, שמחה, אהבה, בחורות, הגשמת חלומות והצלחה בכל מעשה ידייך."
koren, אני בא אל תדאג
koren, ותודה אח
koren, מתי לבוא אח
koren, סיימתי
koren, אז לבוא?
koren, סבבה יוצא
koren, תן לי כתובת רק
koren, חחחחחח פליטי הספר
koren, 15 אצלל יש פקקים אחושרמואה
koren, ך
koren, <‎audio omitted>
koren, אז בוא איתנו
koren, אני לידור
koren, ועוד
koren, אוקייי
koren, אז אם תהיה החלטה תגיד חי
koren, חי
koren, לי
koren, ואני אעשה מאמצין
koren, כי אין לי אוטו
koren, ותדבר
koren, כי זה יומולדת שלך
koren, ובא לי להיות חלק
koren, שעה אני אצלך
koren, אני בברנר בנמל
koren, מזה טוב
koren," ""יש חיים שלי התגעגתי אליך"""
koren, עומד לי
koren, אני אשחק יחף
koren, או שתביא לי נעלי ספורט
koren, וכן כן כן כן ןןןן ץארגןןןן
koren, אני רוצה לשחקק
koren, תלך
koren, קח איתך נעליים בשבילי
koren, ומכנב
koren, ומכנס
koren, ואני אבוא לצגרש ישר
koren, בעיה
koren, חייבים ברגל
koren, לא נעים מאמא
koren, התעצבנה עלי
koren, דאני לא אהיה בארוחה
koren, שגרמתי לה לרחת אותי לתל אביב
koren, עוד..?
koren, אני בדרך מהנמל תתארגן
koren, למה
koren, אח שלי היקר ואהוב.. 
koren, <‎image omitted>
koren, <‎image omitted>
koren, לא יודע
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, אתה בא איתנו בהסעה וישן אצלי?
koren, סבבה
koren, למה בלילה אתה בא בעשר
koren, וישן אצלי
koren, תישן אולי???
koren, שלא תתמוטט בפורום
koren, אזתגיד לט
koren, שאתה ישן עכדיו ובא אלי בעשר
koren, יאלה אח
koren, 10 10 ורבע רצלי
koren, 9 חצי רבע ל10
koren, לאב יו מור
koren, הבעה
koren, הסעה
koren, סבהה
koren, אני איתו אל תדאג
koren, ויש עוד הסעה
koren, של כאלה שסיימו עכשיו יב
koren, יש שם בשר לא רע
koren, חחחחח
koren, לילנ טוה אחי
koren, מחכה
koren, לך
koren, שאלה רטורית
koren, 🔥🔥😘😘😘
koren, <‎audio omitted>
koren, יאלההה צא אח
koren, אש
koren, לפלאג אין
koren, יצאנו עכשיו
koren, נבדוק
koren, שפתוח ואני אגיד לך
koren, <‎video omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, מה חחחח
koren, אני באמת חולה
koren, חיים שלי איך עבר הצום
koren, הצלחת העיקר חיים שלי
koren, מתי הביתה
koren, יאלההה ברוך ה
koren, שתגיע תתקשר אליי
koren, חחחחחח אוהד בעוד ריתוק חחחחחמה נסגר איתו
koren, דבר שני..
koren, והוא קילל את המפקדחחחחחחח😂
koren, אהה הוא חירטט אותי
koren, כן
koren, ואם אצליח
koren, כי בטח שזה יקרה נראלי
koren, סבבה
koren, כן חחחחח
koren, <‎image omitted>
koren, דיייי
koren, למרות שלא הייתי מציע
koren, חחחחחח האקסיץ שלו שרטה אותו
koren, בשבילך אחי
koren, היא ממש לא הבחורה שהייתי מציע לחברים
koren, היא כולה רעש וצלצולים
koren, אם באלך אחי אני מאחוריך.. רק מייעץ
koren, מה עושה היום
koren, ישמסיבה טובה?
koren, טובוד
koren, ש
koren, <‎image omitted>
koren, פורום
koren, עכשיו הוא מקיא
koren, עוד לא התחיל חחחח
koren, חחחחחח
koren, <‎image omitted>
koren, אמרתי
koren, תעלה למעלה תראה
koren, ואם לא טני זין
koren, ואם באמת לא רשמתי אז אני לא חבר
koren, Mission completed
koren, אנחנו נותנים לנו ניסיון
koren, 😘😘
koren, בעה יהיה טוב
koren, רוצה מאוד
koren, אתמול איך היא פחדה אחי
koren, שאם זה לא ילך היא תתרחק מכולם וממני והיא לא רוצה
koren, וכאילו נתתי לה בטחון שהכל טוב ושלא תדאג
koren, מנסה
koren, מנסה שהיא תפתח
koren, אליי
koren, סבבה
koren, עוד עצות?
koren, חחחחחחחחחחח
koren, רוצה נישב היום? בערב
koren, אני בנתניה אני אבוא
koren, לא
koren, בכל מקרה אני בא אליך נראלי גם אם תצא אצטרף
koren, סבבה אחי אניבשבת חתן אני אנסה לזרז שם
koren, איזה רעיון יש לך
koren, סבבה סגור.. אז אין לך 60 אחוז מהחברה
koren, בנתיים 50 50
koren, חחחחחח❤❤
koren, מעושה
koren, אני כבר בראשלצ
koren, תן כתובת
koren, ב
koren, ט
koren, אא
koren, ❤❤❤❤❤❤❤
koren, <‎image omitted>
koren, החברים שלי מגן יבננ
koren, אני
koren, ורועי
koren, למורפיום
koren, דיברתי עם עמית
koren, אתה בא
koren, מה אתה דבע נו
koren, בוא איתנו
koren, מה נראנ לך
koren, הפכתי תעולם
koren, תשנה תוכניות
koren, גם אני אתה ורועי
koren, טוב לא נורא פוצץ העניין
koren, כי אתה לא בא
koren, גם
koren, אבל לא נורא אין לי כח גם ככה
koren, אח יקר חג שמח.. עודיומיים נתראה👈👌👅💦💦
koren, איך היה אתמול
koren, זהו
koren, מה אתה יבש מה אני בחורה
koren, אינעל דודה
koren, שמע אתם יודעים לבחור בחורות החבורה שלכן
koren, שבאתי אליך שלשום
koren, איזה בחורות מפגרות
koren, מזה הדהר הזה
koren, עכשיו אני מבין למה אתה אומר שהחבורה שלי איכותית
koren, כןן .. תצטרף יותר
koren, מוזמן תמיד
koren, כמו שאני מפתיע
koren, לאביו האני באני🐰
koren, מעושה היום
koren, עשירים
koren, שמעתי יקר שם בטירוף אבל
koren, כן
koren, 1000
koren, חחחחחח
koren, חחחחחחחחחחחח
koren, מצחיקים אותי
koren, ברור
koren, שזה מגיע למחיר עזה
koren, עזה
koren, כזה
koren, זין בעין עלק 1000
koren, איך המועדון בכלל
koren, שהם לוקחים ככה
koren, וואלה
koren, כן תמיד שמעתי עליו
koren, איך הגודל ביחס לפורום
koren, כן חחח
koren, לעומת הבראכה
koren, הברקה
koren, כולל הלמעלה והכל
koren, אם כן אז אש אחי
koren, אז פיגוז ידפוק
koren, חוץ מהמחיר
koren, נבוא יום אחד
koren, זה לצאת לקלרה ואז לא לצאת חודש
koren, כלכלית
koren, שמע השנה
koren, חייבין לרדת לאילת עם האוניברסיטה
koren, חוגגים בכל דבר שיהיה
koren, חובה חובה
koren, חוסך ממחר
koren, ואעליה אם הכל ילך טוב עם ליאן
koren, כלכלית אני עני
koren, בחורה יקרה
koren, 💎💎
koren, אני אקח ממך כמה הלוואות
koren, 😂
koren, אתה לא מבין
koren, ישלי ראיון עבודה בפנטגון מחר
koren, O M F G
koren, של הצבא האמריקאי
koren, איפה שכל הסודות
koren, רוצים אותי
koren, אם אתה רוצה המלצות תרשום את סבא שלי
koren, הוא היה באריות הים
koren, כשאתה בנתניה שלושה ימים
koren, אפשר שלא?
koren, חחחחחח
koren, <‎video omitted>
koren, די נאור בקשה אל תעשה את זה🙊
koren, ואה ואה שלא נדלקה עליך
koren, היא קקה
koren, תופסת מעצמה ביונסה חחח
koren, מתעושה היום
koren, שמע
koren, בסמסטר ג
koren, יש לנו יום חופש אחד
koren, זהו
koren, רק חנוכה ב13.12 וזהו
koren, נאור איפה השמיניות איפה
koren, שיעורים בשמונה בבוקר
koren, חחחח
koren, אין על שמוליק
koren, שמע אם אני לא עובר מועד ד
koren, נדפקתייי אחושרמוטה
koren, 3 קורסים
koren, יהיה לי רק מבני אוטומטיים באלוהיים
koren, אני עובר לדירה כבר ב19
koren, צריכים לקבוע יום ביחד
koren, שנבוא לנקות ולסדר כולם
koren, נלך למסעדה
koren, נעשה גיבוש
koren, תשאל את ההורים שלך מתי זורם להם
koren, סבבה
koren, אז אני אשאל את אמא על תאריכים ותגיד להורים שלך מתי זורם להם
koren, שניה אמי אומר לך
koren, ונחתום כבר באותו יום
koren, 14 17 21
koren, ומקסימום נלך אני ואתה לפני לחתום
koren, 17 זה שבת
koren, 14 21 זה רביעי
koren, סבבה
koren, באיזה יום
koren, מהשלושה
koren, סגור
koren, תגיד להן
koren, להם
koren, וניסע. אנחנו יום אחר לחתום
koren, לפני
koren, יופי מאמי
koren, ככה גם זמן לעצמנו
koren, נבדוק תנוחות
koren, חחחחחח
koren, <‎image omitted>
koren," ""חברים"""
koren, חחחחחחח יחולים
koren, תוסיך לפאנן
koren, אמי עם ליאן
koren, לא נוכל
koren, נקווה שיצליח משהו
koren, למה נראלי אמי חותך אחשורמוט
koren, כי לא יודע
koren, היא כבויה
koren, אחי אתה לא מבין
koren, היא לא הגיונית
koren, לא מובנת
koren, לא מדברץ
koren, לא חיה
koren, כן נישב על זה היום
koren, סעצק
koren, איך היה
koren, מתמזיין
koren, משהו רציני?
koren, 🈵🈲🉐🈹🈺
koren, זה מה שהבנתי
koren, נכון
koren, הבנתי עכשיו
koren, מה הוא שתה?
koren, הוא פשוט גמור חחח
koren, יצרתם לדרינק?
koren, פששש חגגתם
koren, אם אתנ רוצה יש כדורגל ב5 פה בגן יבנה
koren, עם ילדים מהשכבה
koren, למה מה יש
koren, פששש
koren, משפחה?
koren, ואייי אש
koren, אצלך?
koren, אה והמשפחה שלך באה?
koren, 🆒
koren, דייי
koren, מרמלה?
koren, איך היה
koren, ו..
koren, נחמדד
koren, אחלה לילה
koren, גם שגיא ומתן באו?
koren, ממממ
koren, כן ברור
koren, תודיעו מראש
koren, שאני אשנה תתוכניות
koren, <‎image omitted>
koren, <‎image omitted>
koren, <‎image omitted>
koren, <‎image omitted>
koren, <‎image omitted>
koren, <‎image omitted>
koren, מתי באלך ללכת לשם? שלישי רביעי?
koren, לקחת מפתח
koren, סבבה
koren, מה עשיץ אמול
koren, איך נכנסתם
koren, חחח
koren, ואאלה אש
koren, יאלה עוד יומיים
koren, שמעשיר חדש שיצא
koren, שיחה אחרונה אמיר כהן
koren, אני מת
koren, גם אני ב8
koren, היא לא תיתן לי החיים
koren, כי יש לי מחר עוד לעשות מבחן עיוני
koren, לך היא אישרה?
koren, מה רשמת לי שלח לי
koren, לה
koren, ביקשתי
koren, תחזיק אצבעות
koren, <‎image omitted>
koren, חחחחחחחחחחח ענק
koren, באתי עם מזוודה שוב
koren, כמההמדי ב קיבלתי?
koren, יופי
koren, בשביל הזיכויים
koren, באלך לבדוק אם ישלך אוטו בשלישי או רביעי נלך למעונות בבוקר
koren, כי יש לך דלקן בכל זאת
koren, ואו
koren, אלוהי ם?
koren, בדרכו
koren, נגלת אליו כבר?
koren, אז תבקש לשלישי
koren, כו
koren, מעולה👈👌💦💦👅👅🙊
koren, קמת?
koren, לאאא
koren, אני צריך לעשות עלמש
koren, עלב*
koren, איפה אתה
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, <‎audio omitted>
koren, כןן
koren, חחחח
koren, בעה נעבור
koren, בדרך כבר
koren, יפה מאוג
koren, יום ראשון סקס ראשון
koren, מה אתה אומר זנזיבר
koren, שמע חייבים אחי
koren, זה הרפתקה
koren, יש לי כבר 6 מההורים
koren, שמע חייבים לארגן משהו בן זונה אבל
koren, קיץ הבא בעה
koren, רק נעבור מבני
koren, אמא שלי תתחיל לתכנן לנו אם אני אעבור תמבחן
koren, קיץ לא?
koren, יופי מבחינתי סגור
koren, אן לא ימאס לך ממך במהלך השנה
koren, כל בוקר כל לילה
koren, ואעליההה
koren, איפה אתה היון
koren, ואה ואה
koren, איזה כבד
koren, תהנו ותמסור לו מזל טוב
koren, כבל hdmi
koren, ואוכללללללללל
koren, ונייר סופג
koren, קניתי בורקסים פיצה מקפיצה מלאווח
koren, תכניס עכשיט לתיק
koren, מחר
koren, 7 וחצי רכבת
koren, למה
koren, אחת הסיבות
koren, סבבה אחי
koren, אני ב8 וחצי כבר מוצץ לך
koren, ירדן מזיינת לי את המח
koren, איך אני יוצא מזה
koren, היא מתכננת עלי בכל העבודות הזוגיות
koren, היא אומרת לי
koren, איזה מעבדה ניקח
koren, שנהיה ביחד
koren, ומתייעצת איתי על המתרגל
koren, בspl
koren, אין לי שמץ בעברית חחח
koren, אני צריך להעיף אותה דחוף
koren, רק דיברנט עליה
koren, טפי
koren, סבבה
koren, שלישי מסיבה
koren, מה יש לנו מחר במערכת
koren, סבבה
koren, אם אני לא עובר מבני
koren, אנחנו ניפרדים
koren, 3 קורסים הלכו
koren, וידפקו לי את סמסטר ב כי הכל מסתמך עליהם
koren, ומבני יש רק בסמסטר ב
koren, גם אני מתאבד
koren, אל תדאג
koren, <‎image omitted>
koren, כוסעמק
koren, על מי נפלתי
koren, אולי אני אגיד לה שיש לי חברה
koren, חחחח למה
koren, אוקיי
koren, חחחחח
koren, כחולה
koren, <‎audio omitted>
koren, חחחחחחח אוהב אותך
koren, ועכשיו אני נוסע בדיוק
koren, נאור
koren, אתה יודע עד מתי פתוח המזכירות של אנגלית
koren, ואיפה בדיוק
koren, כפרה עליך שאתה מסיים תעבור שם
koren, תבדוק
koren, כי לא עונים לי
koren, ב2 המספרים
koren, ישמקום?
koren, רציני?
koren, השרמוטות
koren, לא באו
koren, ךא יודע אני מחכה
koren, כוס אמא שלהם
koren, טוב אני בא
koren, מעניין השיעור?
koren, כי הם לא באים
koren, כוסעמק
koren, למי
koren, ל199
koren, למי
koren, מההכן
koren, זה לא מספר ידבע
koren, זין שלי
koren, כן
koren, <‎image omitted>
koren, כדורגל ב7
koren, הורדת אובנטו רגיל?
koren, לא הורדת 32
koren, טובנבדוק אצלי
koren, סעמק
koren, קשה?
koren, שלח לי
koren, אין לי את הקורס במודל
koren, שלח לי בפייסבוק
koren, <‎audio omitted>
koren, אני יודע
koren, בהצלחה לך
koren, תתחיל לחפש שותפים
koren, לא עברתי מבני
koren, 37
koren, אני לא מבין איך
koren, גם אין לי סריקת מחברת
koren, כלום
koren, כוס אמא שלהם
koren, אכלתי אותה
koren, איפתה
koren, תהנההה מחר אני כנראה בתא
koren, לא
koren, אוף
koren, שאתה איתי
koren, בסדר אני עוד לא בקצה
koren, בקצב
koren, איפה בכמט לעזאזל
koren, סיימת?
koren, חמם לי אוכל אני בא
koren, עשיתי 90 אחוז מהעבודה בבסיבי
koren, בבסיסי
koren, אמא שלך זונה
koren, זה להגשה
koren, תגיד תודה תנשק לי תרגליים תכין לי קורנפלקס עם חלב
koren, לא נורא
koren, נישב ביחד נעבור על שלי נוסיף ונתקן
koren, תפשיר רוטב לספגטי
koren, הא
koren, כן
koren, 👌
koren, נו מהה יראש אבוקדו
koren, צלם תדרך
koren, אותה פוזה מכיתה ד
koren, מכין את הבננות זורק עליך מהחלון
koren, שכחתי לקחת עט
koren, סעמקק
koren, שעה מבוזבזת
koren, לאננורא עכשיו הגעתי
koren, נעשה
koren, תנסה לעשות את 4 5
koren, גם לי
koren, אין לי קורס פחות ממך
koren, לי זה קשה
koren, איך עשית את הבדיקה של x-y בalu
koren, <‎image omitted>
koren, האאא יעני ספיצפי
koren, שאתהה מוצא תשלח שאני אעתיק
